full journal title	Journal Impact Factor
ca-a cancer journal for clinicians	187.04
new england journal of medicine	72.406
nature reviews drug discovery	57
chemical reviews	47.928
lancet	47.831
nature reviews molecular cell biology	46.602
jama-journal of the american medical association	44.405
nature biotechnology	41.667
nature reviews genetics	40.282
nature	40.137
nature reviews immunology	39.932
nature materials	39.737
nature nanotechnology	38.986
chemical society reviews	38.618
nature photonics	37.852
science	37.205
nature reviews cancer	37.147
reviews of modern physics	36.917
lancet oncology	33.9
progress in materials science	31.14
annual review of astronomy and astrophysics	30.733
cell	30.41
nature medicine	29.886
energy & environmental science	29.518
living reviews in relativity	29.3
materials science & engineering r-reports	29.28
nature reviews neuroscience	28.88
annual review of immunology	28.396
nature genetics	27.959
cancer cell	27.407
physiological reviews	27.312
annual review of pathology-mechanisms of disease	26.853
nature reviews microbiology	26.819
world psychiatry	26.561
world psychiatry	26.561
lancet neurology	26.284
nature chemistry	25.87
progress in polymer science	25.766
nature methods	25.062
journal of clinical oncology	24.008
cell stem cell	23.394
immunity	22.845
annual review of plant biology	22.808
nature physics	22.806
advances in physics	21.818
materials today	21.695
nature immunology	21.506
bmj-british medical journal	20.785
nature reviews clinical oncology	20.693
accounts of chemical research	20.268
nature reviews neurology	20.257
nature cell biology	20.06
cancer discovery	20.011
clinical microbiology reviews	19.958
annual review of psychology	19.95
annual review of psychology	19.95
annual review of biochemistry	19.939
journal of the american college of cardiology	19.896
lancet infectious diseases	19.864
advanced materials	19.791
lancet diabetes & endocrinology	19.742
european heart journal	19.651
circulation	19.309
nature climate change	19.304
nature climate change	19.304
lancet respiratory medicine	19.287
annual review of condensed matter physics	18.588
gastroenterology	18.392
nature reviews endocrinology	18.318
cell metabolism	18.164
pharmacological reviews	17.893
nature neuroscience	17.839
advances in optics and photonics	17.833
lancet global health	17.686
lancet global health	17.686
nano today	17.476
physics reports-review section of physics letters	17.425
progress in energy and combustion science	17.382
ieee communications surveys and tutorials	17.188
annals of internal medicine	17.135
science translational medicine	16.796
psychological bulletin	16.793
psychological bulletin	16.793
advanced energy materials	16.721
gut	16.658
trends in biochemical sciences	16.63
jama oncology	16.559
jama internal medicine	16.538
psychological inquiry	16.455
european urology	16.265
endocrine reviews	15.745
annual review of neuroscience	15.63
cell research	15.606
trends in cognitive sciences	15.402
trends in cognitive sciences	15.402
trends in cell biology	15.333
jama psychiatry	15.307
jama psychiatry	15.307
trends in ecology & evolution	15.268
nature chemical biology	15.066
cell host & microbe	14.946
annual review of cell and developmental biology	14.917
journal of managed care pharmacy	14.789
annual review of physical chemistry	14.741
molecular cell	14.714
microbiology and molecular biology reviews	14.533
reports on progress in physics	14.311
nature reviews cardiology	14.299
behavioral and brain sciences	14.2
behavioral and brain sciences	14.2
american journal of psychiatry	14.176
american journal of psychiatry	14.176
psychological science in the public interest	14.143
light-science & applications	14.098
neuron	14.024
annual review of fluid mechanics	14.02
wiley interdisciplinary reviews-computational molecular science	14.016
studies in mycology	14
circulation research	13.965
acs nano	13.942
nature geoscience	13.941
journal of the american chemical society	13.858
physics of life reviews	13.84
nature reviews gastroenterology & hepatology	13.678
applied physics reviews	13.667
annual review of medicine	13.609
fungal diversity	13.465
annual review of materials research	13.432
surface science reports	13.333
coordination chemistry reviews	13.324
trends in immunology	13.287
hepatology	13.246
progress in neurobiology	13.217
american journal of respiratory and critical care medicine	13.204
molecular psychiatry	13.204
blood	13.164
journal of allergy and clinical immunology	13.081
annual review of pharmacology and toxicology	12.877
annual review of entomology	12.867
annals of the rheumatic diseases	12.811
trends in pharmacological sciences	12.797
physical review x	12.789
journal of clinical investigation	12.784
nano letters	12.712
nature structural & molecular biology	12.595
jnci-journal of the national cancer institute	12.589
journal of hepatology	12.486
living reviews in solar physics	12.455
nano energy	12.343
reviews of geophysics	12.34
annual review of marine science	12.333
journal of photochemistry and photobiology c-photochemistry reviews	12.317
acta neuropathologica	12.213
fems microbiology reviews	12.198
nature reviews rheumatology	12.188
nature reviews nephrology	12.146
annual review of clinical psychology	12.136
annual review of clinical psychology	12.136
advanced functional materials	12.124
nature communications	12.124
intensive care medicine	12.015
angewandte chemie-international edition	11.994
journal of experimental medicine	11.991
genome research	11.922
trends in plant science	11.911
genome biology	11.908
plos medicine	11.862
diabetes care	11.857
annals of oncology	11.855
advanced drug delivery reviews	11.764
human reproduction update	11.748
leukemia	11.702
biological reviews	11.615
lancet psychiatry	11.588
